date;ret
08/11/2013;-1.661842e-03
11/11/2013;1.208542e-03
12/11/2013;5.236328e-06
13/11/2013;-1.673312e-03
14/11/2013;-4.511076e-03
15/11/2013;-1.148787e-03
18/11/2013;-2.243868e-03
19/11/2013;-2.118189e-03
20/11/2013;-2.443950e-03
21/11/2013;3.728954e-03
22/11/2013;-5.016726e-04
25/11/2013;-1.078237e-03
26/11/2013;-2.415594e-04
27/11/2013;2.693782e-03
29/11/2013;5.100144e-03
02/12/2013;3.609858e-03
03/12/2013;-2.283940e-03
04/12/2013;-4.182420e-03
05/12/2013;7.108065e-03
06/12/2013;3.851243e-03
09/12/2013;2.379755e-03
10/12/2013;-4.758058e-03
11/12/2013;-1.028193e-03
12/12/2013;4.090075e-03
13/12/2013;1.426137e-03
16/12/2013;-1.245952e-03
17/12/2013;-2.334293e-04
18/12/2013;1.334684e-03
19/12/2013;-3.586763e-03
20/12/2013;-3.463395e-03
23/12/2013;-8.163055e-04
24/12/2013;-4.261701e-03
26/12/2013;7.515466e-04
27/12/2013;-9.378235e-04
30/12/2013;-4.955644e-03
31/12/2013;-3.945410e-03
02/01/2014;-1.397086e-03
03/01/2014;1.500306e-03
06/01/2014;-1.225330e-03
07/01/2014;-6.077115e-03
08/01/2014;1.281701e-03
09/01/2014;4.420023e-04
10/01/2014;1.277862e-03
13/01/2014;-1.079555e-03
14/01/2014;-3.745850e-03
15/01/2014;-6.224344e-03
16/01/2014;1.160895e-04
17/01/2014;-1.767532e-03
21/01/2014;2.115512e-03
22/01/2014;1.388518e-03
23/01/2014;-2.360485e-04
24/01/2014;-1.922360e-03
27/01/2014;2.019054e-03
28/01/2014;-5.970074e-04
29/01/2014;-1.219651e-03
30/01/2014;1.744648e-03
31/01/2014;2.566783e-03
03/02/2014;-4.935901e-03
04/02/2014;2.346266e-03
05/02/2014;2.118263e-03
06/02/2014;-2.159135e-03
07/02/2014;-1.862102e-03
10/02/2014;7.198129e-04
11/02/2014;4.228846e-03
12/02/2014;-4.647370e-03
13/02/2014;4.923005e-04
14/02/2014;1.299147e-03
18/02/2014;2.408439e-03
19/02/2014;-3.630353e-03
20/02/2014;-1.499171e-03
21/02/2014;1.021801e-03
24/02/2014;1.686164e-03
25/02/2014;-1.857331e-03
26/02/2014;3.619640e-03
27/02/2014;1.081562e-03
28/02/2014;3.140528e-03
03/03/2014;-1.888449e-03
04/03/2014;-1.424205e-03
05/03/2014;1.222782e-04
06/03/2014;2.763987e-03
07/03/2014;-9.888782e-04
10/03/2014;-1.223533e-03
11/03/2014;1.386922e-03
12/03/2014;-2.698778e-03
13/03/2014;3.417584e-03
14/03/2014;3.921009e-04
17/03/2014;1.185279e-03
18/03/2014;1.846616e-03
19/03/2014;8.514100e-04
20/03/2014;-4.585096e-05
21/03/2014;-1.429664e-03
24/03/2014;1.454033e-03
25/03/2014;6.834603e-04
26/03/2014;3.051870e-03
27/03/2014;1.663277e-03
28/03/2014;2.755244e-03
31/03/2014;1.314903e-02
01/04/2014;8.381065e-03
02/04/2014;-1.392483e-04
03/04/2014;-4.706783e-03
04/04/2014;4.145441e-04
07/04/2014;2.500005e-03
08/04/2014;2.858216e-03
09/04/2014;2.108183e-03
10/04/2014;3.504086e-03
11/04/2014;-2.685006e-03
14/04/2014;-5.954742e-04
15/04/2014;3.352023e-03
16/04/2014;-4.413395e-03
17/04/2014;1.613960e-03
21/04/2014;-8.134242e-04
22/04/2014;-2.451437e-03
23/04/2014;1.379211e-03
24/04/2014;-1.085262e-03
25/04/2014;-4.552843e-03
28/04/2014;-2.029016e-03
29/04/2014;-5.470427e-03
30/04/2014;1.089336e-03
01/05/2014;1.017012e-03
02/05/2014;3.660985e-03
05/05/2014;1.080857e-03
06/05/2014;1.131175e-03
07/05/2014;7.308891e-04
08/05/2014;1.237632e-03
09/05/2014;-8.863547e-04
12/05/2014;-1.031482e-03
13/05/2014;-2.983319e-03
14/05/2014;-1.229805e-03
15/05/2014;-4.723792e-03
16/05/2014;9.252576e-04
19/05/2014;-6.688169e-03
20/05/2014;-3.471039e-03
21/05/2014;-3.459233e-03
22/05/2014;6.251983e-04
23/05/2014;9.388486e-03
27/05/2014;4.209547e-03
28/05/2014;7.440346e-03
29/05/2014;2.329094e-03
30/05/2014;9.733622e-04
02/06/2014;4.836448e-04
03/06/2014;-4.340754e-03
04/06/2014;1.539902e-03
05/06/2014;2.045698e-04
06/06/2014;2.561506e-03
09/06/2014;-2.814334e-03
10/06/2014;-1.931485e-03
11/06/2014;3.542240e-03
12/06/2014;2.057741e-03
13/06/2014;1.181678e-02
16/06/2014;1.183860e-05
17/06/2014;-3.732291e-03
18/06/2014;-5.416839e-03
19/06/2014;-6.035566e-05
20/06/2014;-3.281522e-03
23/06/2014;1.424508e-03
24/06/2014;4.967513e-03
25/06/2014;3.767323e-03
26/06/2014;-3.309050e-03
27/06/2014;1.060928e-03
30/06/2014;-2.076999e-03
01/07/2014;-1.320545e-03
02/07/2014;5.469918e-04
03/07/2014;-2.307987e-03
07/07/2014;-4.189504e-04
08/07/2014;-2.891828e-03
09/07/2014;-2.901534e-03
10/07/2014;-1.361244e-03
11/07/2014;6.797332e-04
14/07/2014;-7.067273e-04
15/07/2014;-1.603548e-03
16/07/2014;-5.898604e-03
17/07/2014;-1.902809e-03
18/07/2014;8.517513e-04
21/07/2014;-8.570967e-04
22/07/2014;-1.256540e-03
23/07/2014;-2.859362e-03
24/07/2014;-1.708252e-03
25/07/2014;2.201227e-03
28/07/2014;4.732956e-04
29/07/2014;-1.088696e-03
30/07/2014;-8.276276e-04
31/07/2014;3.276627e-03
01/08/2014;2.096949e-03
04/08/2014;-6.751095e-04
05/08/2014;-3.016155e-03
06/08/2014;7.845259e-04
07/08/2014;4.120038e-03
08/08/2014;1.501693e-03
11/08/2014;1.339726e-03
12/08/2014;3.829929e-04
13/08/2014;-1.357612e-03
14/08/2014;-2.416531e-04
15/08/2014;-7.509022e-04
18/08/2014;2.736217e-03
19/08/2014;2.634502e-03
20/08/2014;-8.001910e-05
21/08/2014;3.552994e-04
22/08/2014;-8.453693e-04
25/08/2014;5.194106e-04
26/08/2014;-2.834908e-03
27/08/2014;4.116674e-04
28/08/2014;-4.550049e-03
29/08/2014;-1.527797e-04
02/09/2014;2.190166e-04
03/09/2014;-1.084694e-02
04/09/2014;2.719650e-03
05/09/2014;-9.389512e-04
08/09/2014;-3.206764e-03
09/09/2014;-1.549184e-03
10/09/2014;3.186812e-03
11/09/2014;-9.881807e-04
12/09/2014;1.688643e-05
15/09/2014;2.854200e-03
16/09/2014;-7.377107e-04
17/09/2014;-2.433526e-03
18/09/2014;-2.015205e-03
19/09/2014;1.073886e-03
22/09/2014;3.165037e-03
23/09/2014;-2.520525e-05
24/09/2014;-4.162437e-03
25/09/2014;-1.285864e-03
26/09/2014;6.739360e-03
29/09/2014;-3.919231e-03
30/09/2014;4.888684e-03
01/10/2014;9.025393e-04
02/10/2014;-3.435257e-05
03/10/2014;-2.805975e-03
06/10/2014;5.551812e-03
07/10/2014;-3.173823e-03
08/10/2014;3.783169e-03
09/10/2014;1.654199e-04
10/10/2014;-4.007946e-03
13/10/2014;2.553637e-03
14/10/2014;-1.232506e-03
15/10/2014;-2.003210e-03
16/10/2014;9.277633e-04
17/10/2014;-1.092766e-03
20/10/2014;2.105030e-03
21/10/2014;3.268979e-03
22/10/2014;-4.310064e-03
23/10/2014;-1.548129e-03
24/10/2014;2.198012e-04
27/10/2014;1.500099e-03
28/10/2014;1.688170e-04
29/10/2014;2.478109e-03
30/10/2014;1.144731e-03
31/10/2014;-4.020952e-04
03/11/2014;8.072741e-04
04/11/2014;-2.779829e-03
05/11/2014;-9.549556e-04
06/11/2014;2.758836e-03
07/11/2014;-1.551372e-03
10/11/2014;-2.381646e-03
11/11/2014;7.603035e-04
12/11/2014;-2.210508e-03
13/11/2014;-1.141623e-04
14/11/2014;1.510430e-03
17/11/2014;-6.568196e-03
18/11/2014;-1.649319e-03
19/11/2014;4.150516e-03
20/11/2014;6.436714e-03
21/11/2014;3.123992e-03
24/11/2014;-1.532000e-03
25/11/2014;7.176483e-04
26/11/2014;3.698806e-03
28/11/2014;-6.639066e-04
01/12/2014;-1.378287e-03
02/12/2014;-7.032750e-04
03/12/2014;7.509467e-04
04/12/2014;2.710061e-03
05/12/2014;2.588660e-03
08/12/2014;1.778159e-04
09/12/2014;-2.234435e-03
10/12/2014;-3.088194e-03
11/12/2014;2.053510e-03
12/12/2014;-2.364323e-03
15/12/2014;-2.983482e-04
16/12/2014;-8.418574e-04
17/12/2014;5.602789e-04
18/12/2014;-8.937794e-03
19/12/2014;1.028865e-05
22/12/2014;2.363780e-03
23/12/2014;2.786497e-03
24/12/2014;-3.548243e-03
26/12/2014;-3.999285e-04
29/12/2014;4.965758e-03
30/12/2014;-1.355496e-03
31/12/2014;-1.488412e-03
02/01/2015;8.958686e-04
05/01/2015;4.129329e-04
06/01/2015;-1.266804e-03
07/01/2015;-1.871278e-04
08/01/2015;4.898446e-03
09/01/2015;-8.224498e-04
12/01/2015;1.464141e-03
13/01/2015;-4.735612e-04
14/01/2015;2.425237e-04
15/01/2015;1.915394e-03
16/01/2015;1.235203e-03
20/01/2015;3.444173e-03
21/01/2015;6.756837e-04
22/01/2015;-6.576240e-03
23/01/2015;-4.986401e-03
26/01/2015;-6.948148e-04
27/01/2015;-5.395799e-03
28/01/2015;3.914369e-03
29/01/2015;-3.320382e-03
30/01/2015;5.028712e-03
02/02/2015;-3.936850e-03
03/02/2015;3.628565e-03
04/02/2015;-3.739000e-03
05/02/2015;-3.039368e-04
06/02/2015;2.836872e-03
09/02/2015;-2.704215e-03
10/02/2015;3.761280e-04
11/02/2015;1.125371e-03
12/02/2015;-2.293261e-03
13/02/2015;1.404422e-03
17/02/2015;4.543993e-03
18/02/2015;9.490623e-04
19/02/2015;-2.302083e-03
20/02/2015;-3.095523e-03
23/02/2015;8.529983e-04
24/02/2015;-2.976940e-05
25/02/2015;-4.853846e-03
26/02/2015;7.956102e-04
27/02/2015;1.283629e-03
02/03/2015;1.552321e-03
03/03/2015;-2.073558e-03
04/03/2015;1.369186e-03
05/03/2015;1.351765e-03
06/03/2015;-1.961760e-03
09/03/2015;-2.433906e-03
10/03/2015;3.368409e-03
11/03/2015;4.163751e-03
12/03/2015;2.350490e-03
13/03/2015;-4.293777e-05
16/03/2015;2.458722e-03
17/03/2015;-5.509894e-03
18/03/2015;4.913953e-03
19/03/2015;4.038229e-03
20/03/2015;5.352570e-04
23/03/2015;-8.522807e-04
24/03/2015;2.405616e-03
25/03/2015;3.756734e-03
26/03/2015;3.579332e-03
27/03/2015;4.298280e-03
30/03/2015;4.193935e-03
31/03/2015;-2.993848e-03
01/04/2015;2.499838e-03
02/04/2015;3.438259e-03
06/04/2015;-1.952344e-03
07/04/2015;7.167654e-04
08/04/2015;-2.073243e-03
09/04/2015;-6.463871e-04
10/04/2015;-1.004984e-02
13/04/2015;-4.133821e-03
14/04/2015;-2.425137e-03
15/04/2015;-1.938196e-03
16/04/2015;2.978620e-03
17/04/2015;-1.636580e-03
20/04/2015;2.721587e-03
21/04/2015;2.386008e-04
22/04/2015;-2.762807e-03
